Depth (m)          Deflection (mm)                        
7.44000                -12.09218                        
7.56000                -10.89315                        
7.56000                -10.89315                        
7.68000                 -9.71367                        
7.68000                 -9.71367                        
7.80000                 -8.55725                        
7.80000                 -8.55725                        
7.92000                 -7.42700                        
7.92000                 -7.42700                        
8.04000                 -6.32560                        
8.04000                 -6.32560                        
8.16000                 -5.27408                        
8.16000                 -5.27408                        
8.28000                 -4.30545                        
8.28000                 -4.30545                        
8.40000                 -3.43218                        
8.40000                 -3.43218                        
8.52000                 -2.65180                        
8.52000                 -2.65180                        
8.64000                 -1.96076                        
8.64000                 -1.96076                        
8.76000                 -1.35473                        
8.76000                 -1.35473                        
8.88000                 -0.82877                        
8.88000                 -0.82877                        
9.00000                 -0.37754                        
9.00000                 -0.37754                        
9.12000                  0.00456                        
9.12000                  0.00456                        
9.24000                  0.32325                        
9.24000                  0.32325                        
9.36000                  0.58425                        
9.36000                  0.58425                        
9.48000                  0.79317                        
9.48000                  0.79317                        
9.60000                  0.95548                        
9.60000                  0.95548                        
9.72000                  1.07638                        
9.72000                  1.07638                        
9.84000                  1.16081                        
9.84000                  1.16081                        
9.96000                  1.21336                        
9.96000                  1.21336                        
10.08000                  1.23830                        
10.08000                  1.23830                        
10.20000                  1.23951                        
10.20000                  1.23951                        
10.32000                  1.22051                        
10.32000                  1.22051                        
10.44000                  1.18446                        
10.44000                  1.18446                        
10.56000                  1.13411                        
10.56000                  1.13411                        
10.68000                  1.07191                        
10.68000                  1.07191                        
10.80000                  0.99992                        
10.80000                  0.99992                        
10.92000                  0.91991                        
10.92000                  0.91991                        
11.04000                  0.83333                        
11.04000                  0.83333                        
11.16000                  0.74135                        
11.16000                  0.74135                        
11.28000                  0.64491                        
11.28000                  0.64491                        
11.40000                  0.54471                        
11.40000                  0.54471                        
11.52000                  0.44125                        
11.52000                  0.44125                        
11.64000                  0.33489                        
11.64000                  0.33489                        
11.76000                  0.22583                        
11.76000                  0.22583                        
11.88000                  0.11419                        
                        
 Depth (m)            Moment (kN.m)                        
0.12000               -166.07631                        
0.24000               -154.40141                        
0.24000               -154.40141                        
0.36000               -142.95700                        
0.36000               -142.95700                        
0.48000               -131.75402                        
0.48000               -131.75402                        
0.60000               -120.80306                        
0.60000               -120.80306                        
0.72000               -110.11438                        
0.72000               -110.11438                        
0.84000                -99.69787                        
0.84000                -99.69787                        
0.96000                -89.56305                        
0.96000                -89.56305                        
1.08000                -79.71902                        
1.08000                -79.71902                        
1.20000                -70.17449                        
1.20000                -70.17449                        
1.32000                -60.93770                        
1.32000                -60.93770                        
1.44000                -52.01647                        
1.44000                -52.01647                        
1.56000                -43.41815                        
1.56000                -43.41815                        
1.68000                -35.14963                        
1.68000                -35.14963                        
1.80000                -27.21727                        
1.80000                -27.21727                        
1.92000                -19.62696                        
1.92000                -19.62696                        
2.04000                -12.38407                        
2.04000                -12.38407                        
2.16000                 -5.49344                        
2.16000                 -5.49344                        
2.28000                  1.04062                        
2.28000                  1.04062                        
2.40000                  7.21436                        
2.40000                  7.21436                        
2.52000                 13.02458                        
2.52000                 13.02458                        
2.64000                 18.46864                        
2.64000                 18.46864                        
2.76000                 23.54450                        
2.76000                 23.54450                        
2.88000                 28.25067                        
2.88000                 28.25067                        
3.00000                 32.58628                        
3.00000                 32.58628                        
3.12000                 36.55105                        
3.12000                 36.55105                        
3.24000                 40.14533                        
3.24000                 40.14533                        
3.36000                 43.37006                        
3.36000                 43.37006                        
3.48000                 46.22682                        
3.48000                 46.22682                        
3.60000                 48.71783                        
3.60000                 48.71783                        
3.72000                 50.84593                        
3.72000                 50.84593                        
3.84000                 52.61464                        
3.84000                 52.61464                        
3.96000                 54.02810                        
3.96000                 54.02810                        
4.08000                 55.09116                        
4.08000                 55.09116                        
4.20000                 55.80932                        
4.20000                 55.80932                        
4.32000                 56.18908                        
4.32000                 56.18908                        
4.44000                 56.23956                        
4.44000                 56.23956                        
4.56000                 55.97351                        
4.56000                 55.97351                        
4.68000                 55.40460                        
4.68000                 55.40460                        
4.80000                 54.54679                        
4.80000                 54.54679                        
4.92000                 53.41427                        
4.92000                 53.41427                        
5.04000                 52.02155                        
5.04000                 52.02155                        
5.16000                 50.38348                        
5.16000                 50.38348                        
5.28000                 48.51528                        
5.28000                 48.51528                        
5.40000                 46.43272                        
5.40000                 46.43272                        
5.52000                 44.15215                        
5.52000                 44.15215                        
5.64000                 41.69082                        
5.64000                 41.69082                        
5.76000                 39.06713                        
5.76000                 39.06713                        
5.88000                 36.30684                        
5.88000                 36.30684                        
6.00000                 33.45893                        
6.00000                 33.45893                        
6.12000                 30.58421                        
6.12000                 30.58421                        
6.24000                 27.73657                        
6.24000                 27.73657                        
6.36000                 24.96069                        
6.36000                 24.96069                        
6.48000                 22.29199                        
6.48000                 22.29199                        
6.60000                 19.75282                        
6.60000                 19.75282                        
6.72000                 17.35204                        
6.72000                 17.35204                        
6.84000                 15.09401                        
6.84000                 15.09401                        
6.96000                 12.98154                        
6.96000                 12.98154                        
7.08000                 11.01620                        
7.08000                 11.01620                        
7.20000                  9.19854                        
7.20000                  9.19854                        
7.32000                  7.52830                        
7.32000                  7.52830                        
7.44000                  6.00450                        
7.44000                  6.00450                        
7.56000                  4.62556                        
7.56000                  4.62556                        
7.68000                  3.38936                        
7.68000                  3.38936                        
7.80000                  2.29336                        
7.80000                  2.29336                        
7.92000                  1.33458                        
7.92000                  1.33458                        
8.04000                  0.50972                        
8.04000                  0.50972                        
8.16000                 -0.18557                        
8.16000                 -0.18557                        
8.28000                 -0.75938                        
8.28000                 -0.75938                        
8.40000                 -1.22270                        
8.40000                 -1.22270                        
8.52000                 -1.58682                        
8.52000                 -1.58682                        
8.64000                 -1.86270                        
8.64000                 -1.86270                        
8.76000                 -2.06081                        
8.76000                 -2.06081                        
8.88000                 -2.19104                        
8.88000                 -2.19104                        
9.00000                 -2.26270                        
9.00000                 -2.26270                        
9.12000                 -2.28442                        
9.12000                 -2.28442                        
9.24000                 -2.26414                        
9.24000                 -2.26414                        
9.36000                 -2.20914                        
9.36000                 -2.20914                        
9.48000                 -2.12601                        
9.48000                 -2.12601                        
9.60000                 -2.02065                        
9.60000                 -2.02065                        
9.72000                 -1.89835                        
9.72000                 -1.89835                        
9.84000                 -1.76377                        
9.84000                 -1.76377                        
9.96000                 -1.62103                        
9.96000                 -1.62103                        
10.08000                 -1.47367                        
10.08000                 -1.47367                        
10.20000                 -1.32478                        
10.20000                 -1.32478                        
10.32000                 -1.17700                        
10.32000                 -1.17700                        
10.44000                 -1.03254                        
10.44000                 -1.03254                        
10.56000                 -0.89330                        
10.56000                 -0.89330                        
10.68000                 -0.76083                        
10.68000                 -0.76083                        
10.80000                 -0.63643                        
10.80000                 -0.63643                        
10.92000                 -0.52117                        
10.92000                 -0.52117                        
11.04000                 -0.41591                        
11.04000                 -0.41591                        
11.16000                 -0.32138                        
11.16000                 -0.32138                        
11.28000                 -0.23817                        
11.28000                 -0.23817                        
11.40000                 -0.16676                        
11.40000                 -0.16676                        
11.52000                 -0.10757                        
11.52000                 -0.10757                        
11.64000                 -0.06097                        
11.64000                 -0.06097                        
11.76000                 -0.02730                        
11.76000                 -0.02730                        
11.88000                 -0.00688                        
                        

Depth (m)   Soil Resistance (kN/m)                        
0.12000                 15.22502                        
0.24000                 16.00443                        
0.24000                 16.00443                        
0.36000                 16.76288                        
0.36000                 16.76288                        
0.48000                 17.49885                        
0.48000                 17.49885                        
0.60000                 18.21089                        
0.60000                 18.21089                        
0.72000                 18.89765                        
0.72000                 18.89765                        
0.84000                 19.55783                        
0.84000                 19.55783                        
0.96000                 20.19022                        
0.96000                 20.19022                        
1.08000                 20.79363                        
1.08000                 20.79363                        
1.20000                 21.36698                        
1.20000                 21.36698                        
1.32000                 21.90919                        
1.32000                 21.90919                        
1.44000                 22.41925                        
1.44000                 22.41925                        
1.56000                 22.89621                        
1.56000                 22.89621                        
1.68000                 23.33915                        
1.68000                 23.33915                        
1.80000                 23.74718                        
1.80000                 23.74718                        
1.92000                 24.11947                        
1.92000                 24.11947                        
2.04000                 24.45522                        
2.04000                 24.45522                        
2.16000                 24.75365                        
2.16000                 24.75365                        
2.28000                 25.01404                        
2.28000                 25.01404                        
2.40000                 25.23569                        
2.40000                 25.23569                        
2.52000                 25.41792                        
2.52000                 25.41792                        
2.64000                 25.56009                        
2.64000                 25.56009                        
2.76000                 25.66157                        
2.76000                 25.66157                        
2.88000                 25.72178                        
2.88000                 25.72178                        
3.00000                 25.74013                        
3.00000                 25.74013                        
3.12000                 25.71606                        
3.12000                 25.71606                        
3.24000                 25.64901                        
3.24000                 25.64901                        
3.36000                 25.53846                        
3.36000                 25.53846                        
3.48000                 25.38384                        
3.48000                 25.38384                        
3.60000                 25.18460                        
3.60000                 25.18460                        
3.72000                 24.94017                        
3.72000                 24.94017                        
3.84000                 24.64993                        
3.84000                 24.64993                        
3.96000                 24.31321                        
